Country,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value
Bangladesh,0.7066,177,44,0,11,57,67,0,276,1230,18,419,72,112.0,0.0,2.0,0.0,8.0,3800000000,50260000000,18,3666,112000,28000000,78913289,159453001,143998,580.0,8370,4413.0
Belarus,0.8179,202,39,68,4,28,63,21,532,1560,482,228,238,0.0,,,,,623702800,39920000000,65,32000,190000,198000000,4982905,9527543,207600,,2500,3599.0
Belgium,1.0499,148,43,0,12,64,29,0,0,984,0,0,0,17.0,0.0,0.0,0.0,2.0,4921000000,1281000000000,41,0,645000,0,4833107,11570762,30528,67.0,2043,1297.0
Bhutan,10.1681,2,0,0,0,0,2,0,0,27,0,0,0,0.0,,,,,25120000,2671000000,2,0,2000,0,176808,766397,38394,,0,1136.0
Bolivia,0.9942,69,0,0,14,23,38,0,54,137,0,86,0,173.0,0.0,0.0,0.0,0.0,660000000,12810000000,855,59330,60000,211500000,5075416,11306341,1098581,,10000,7252.0
Bosnia and Herzegovina,3.8586,19,0,0,0,0,19,0,320,332,24,837,143,0.0,0.0,0.0,0.0,0.0,165000000,10870000000,24,0,32500,0,2394632,3849891,51197,20.0,0,1543.0
Botswana,2.0582,45,10,0,11,8,16,0,55,245,0,30,20,,,,,,450000000,2187000000,74,0,16500,0,962617,2249104,581730,,0,4347.0
Brazil,0.1988,715,43,78,126,198,242,12,437,1820,132,565,84,112.0,0.0,6.0,0.0,7.0,27800000000,547400000000,4093,2622000,3020000,13000000000,107764996,208846892,8514877,7491.0,50000,16145.0
Bulgaria,0.8916,63,13,4,5,20,25,2,710,2000,506,350,192,29.0,0.0,0.0,0.0,4.0,1079000000,42060000000,68,1000,115000,15000000,3278916,7057504,110880,354.0,470,1806.0
Burkina Faso,1.9009,16,0,3,1,4,8,2,0,350,0,0,0,,,,,,130000000,3056000000,23,0,10500,0,7800000,19742715,274200,,0,3611.0
