Country,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value
Romania,0.6177,143,26,0,12,41,62,0,943,1369,0,808,243,48.0,0.0,0.0,0.0,3.0,"5,05,00,00,000","95,97,00,00,000",45,73740,"2,40,000","60,00,00,000","1,10,07,501","2,14,57,116","2,38,391",225,1731,2844.0
Russia,0.0681,4163,873,742,424,497,1522,531,12950,27038,6083,4465,3860,603.0,1.0,62.0,16.0,10.0,"48,00,00,00,000","5,39,60,00,00,000",1218,"1,05,80,000","32,25,000","80,00,00,00,000","6,96,40,160","14,21,22,776","1,70,98,242",37653,"1,02,000",22408.0
Saudi Arabia,0.3034,879,270,81,49,208,283,34,1062,12825,705,1818,122,55.0,0.0,0.0,0.0,3.0,"67,60,00,00,000","2,05,10,00,00,000",214,"1,01,30,000","40,00,000","2,66,50,00,00,000","1,77,03,745","3,30,91,113","21,49,690",2640,0,4272.0
Serbia,0.9479,109,9,17,1,38,44,0,293,904,87,144,88,19.0,0.0,0.0,0.0,0.0,"90,70,00,000","29,50,00,00,000",26,18740,75000,"7,75,00,000","34,68,274","70,78,110",77474,,587,2322.0
Sierra Leone,4.2063,5,0,0,0,0,5,2,0,13,0,0,0,10.0,0.0,0.0,0.0,0.0,"7,55,00,000","1,61,50,00,000",8,0,9500,0,"14,32,872","63,12,212",71740,402,800,1093.0
Singapore,0.7966,235,100,0,9,36,77,17,180,3000,48,77,24,40.0,0.0,0.0,0.0,6.0,"11,20,00,00,000","5,66,10,00,00,000",9,0,"13,40,000",0,"40,17,314","59,95,991",697,193,10,
Slovakia,0.8466,47,10,0,7,8,21,0,20,661,16,9,25,0.0,,,,,"2,12,18,17,575","75,04,00,00,000",35,200,82000,"90,00,000","27,76,970","54,45,040",49035,,172,1587.0
Slovenia,1.9496,38,0,0,3,23,16,0,44,269,0,63,0,2.0,0.0,0.0,0.0,0.0,"58,10,00,000","46,30,00,00,000",16,5,55000,0,"10,02,714","21,02,126",20273,47,0,1211.0
Somalia,4.6404,0,0,0,0,0,0,0,10,100,0,30,10,3.0,0.0,0.0,0.0,0.0,"6,22,00,000","5,30,00,00,000",61,0,6200,0,"27,02,167","1,12,59,029","6,37,657",3025,0,2385.0
South Africa,0.4985,226,17,0,23,88,91,12,195,2000,43,72,50,30.0,0.0,3.0,0.0,4.0,"4,27,80,00,000","1,56,30,00,00,000",566,2000,"6,05,000","1,50,00,000","2,62,50,220","5,53,80,210","12,19,090",2798,0,5244.0
South Korea,0.1509,1649,414,71,41,298,803,112,2614,14000,3040,3854,575,234.0,,,,,"44,00,00,00,000","3,84,60,00,00,000",111,0,"28,00,000",0,"2,57,09,049","5,14,18,097",99720,2413,1600,237.0
South Sudan,2.3501,19,0,0,2,0,17,6,110,200,24,0,14,0.0,2.0,22.0,12.0,18.0,"8,00,00,000","2,25,00,00,000",85,"1,50,200",60000,"3,75,00,00,000","52,45,155","1,02,04,581","6,44,329",,0,6018.0
Spain,0.3388,512,137,12,46,162,162,19,327,2023,95,140,0,77.0,1.0,3.0,0.0,11.0,"15,10,00,00,000","20,94,00,00,00,000",150,2252,"12,26,000","15,00,00,000","2,31,36,275","4,93,31,076","5,05,370",4964,1000,1953.0
